,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul,Price,Avg_Price,Produced
0,2013-01-01,3.1,3.2,73.5,-4.7,1749.59,2.2,3.1,,,607534
1,2013-01-02,0,4.2,40.8,-11.7,1749.59,2.2,3.1,330,215,607534
2,2013-01-03,0,2.8,42.8,-13.2,1749.59,2.2,3.1,380,215,607534
3,2013-01-04,0,1.8,44.3,-10.7,1749.59,2.2,3.1,398,215,607534
4,2013-01-05,0,2.3,59.4,-7,1749.59,2.2,3.1,,,607534
5,2013-01-06,0,1.9,59.4,-6.3,1749.59,2.2,3.1,,,607534
6,2013-01-07,0,1.7,53.6,-5.1,1749.59,2.2,3.1,398,215,607534
7,2013-01-08,0,2.2,53.4,-4.6,1749.59,2.2,3.1,411,217,607534
8,2013-01-09,0,3,38.5,-9,1749.59,2.2,3.1,411,218,607534
9,2013-01-10,0,2.3,41.3,-8.3,1749.59,2.2,3.1,403,219,607534
10,2013-01-11,0,2.3,50.5,-3.2,1749.59,2.2,3.1,427,220,607534
11,2013-01-12,0.1,2.5,70,0,1749.59,2.2,3.1,,,607534
12,2013-01-13,0,1.6,65.6,-0.5,1749.59,2.2,3.1,,,607534
13,2013-01-14,0,2.2,61.6,-2.1,1749.59,2.2,3.1,402,221,607534
14,2013-01-15,0,2,57,-2.1,1749.59,2.2,3.1,402,225,607534
15,2013-01-16,0.3,2.4,64.1,-2.6,1749.59,2.2,3.1,402,224,607534
16,2013-01-17,0,2.8,62.9,-5.8,1749.59,2.2,3.1,412,224,607534
17,2013-01-18,0,2,51.9,-4.4,1749.59,2.2,3.1,401,224,607534
18,2013-01-19,0,2,59.9,0.5,1749.59,2.2,3.1,,,607534
19,2013-01-20,0,3.1,55.8,1.6,1749.59,2.2,3.1,,,607534
20,2013-01-21,16.5,4.3,83.6,2.2,1749.59,2.2,3.1,401,223,607534
21,2013-01-22,0.5,2.2,74.3,3.8,1749.59,2.2,3.1,401,222,607534
22,2013-01-23,1.5,3.1,80.4,1.8,1749.59,2.2,3.1,401,223,607534
23,2013-01-24,0.1,4.3,57.6,-0.9,1749.59,2.2,3.1,386,223,607534
24,2013-01-25,0,4.7,37.5,-9.1,1749.59,2.2,3.1,386,221,607534
25,2013-01-26,0,3.5,37,-9.2,1749.59,2.2,3.1,,,607534
26,2013-01-27,0,2.6,44.9,-7.3,1749.59,2.2,3.1,,,607534
27,2013-01-28,0,2.1,56,-3.5,1749.59,2.2,3.1,386,221,607534
28,2013-01-29,0,2.7,63.5,2.2,1749.59,2.2,3.1,386,217,607534
29,2013-01-30,0,2.1,68.8,5.4,1749.59,2.2,3.1,386,215,607534
30,2013-01-31,0,2.9,59.5,7.4,1749.59,2.2,3.1,410,215,607534
31,2013-02-01,46.5,3.7,85.8,7.3,1766.73,2.2,3.1,416,218,607534
32,2013-02-02,0,4.1,52.1,-1.1,1766.73,2.2,3.1,,,607534
33,2013-02-03,7.5,2.7,62.3,-3.2,1766.73,2.2,3.1,,,607534
34,2013-02-04,7.4,2.6,77.1,-0.8,1766.73,2.2,3.1,416,221,607534
35,2013-02-05,4.5,2.4,77,-0.6,1766.73,2.2,3.1,416,222,607534
36,2013-02-06,2.1,3.3,75,-1.5,1766.73,2.2,3.1,416,222,607534
37,2013-02-07,0,5.5,42.5,-11.1,1766.73,2.2,3.1,409,223,607534
38,2013-02-08,0,2.7,39.3,-11.5,1766.73,2.2,3.1,409,224,607534
39,2013-02-09,0,1.8,55.5,-7.2,1766.73,2.2,3.1,,,607534
40,2013-02-10,1.2,2.9,56.6,-4,1766.73,2.2,3.1,,,607534
41,2013-02-11,0,2.1,41.8,-5.8,1766.73,2.2,3.1,,,607534
42,2013-02-12,0,2.3,55.6,-3.8,1766.73,2.2,3.1,409,223,607534
43,2013-02-13,0,2,59.6,-1.3,1766.73,2.2,3.1,409,222,607534
44,2013-02-14,0,2.3,60.1,1.1,1766.73,2.2,3.1,406,223,607534
45,2013-02-15,0,3.9,48.4,-1.2,1766.73,2.2,3.1,404,222,607534
46,2013-02-16,0,2.1,38.8,-2.6,1766.73,2.2,3.1,,,607534
47,2013-02-17,0,2.5,44.5,2.3,1766.73,2.2,3.1,,,607534
48,2013-02-18,0,3.5,49.8,0.5,1766.73,2.2,3.1,404,221,607534
49,2013-02-19,0,4,27.5,-2.9,1766.73,2.2,3.1,404,227,607534
50,2013-02-20,0,2.6,35.3,-4.8,1766.73,2.2,3.1,393,230,607534
51,2013-02-21,0,2.5,49,-1.7,1766.73,2.2,3.1,393,232,607534
52,2013-02-22,3.9,3.1,57.1,0.5,1766.73,2.2,3.1,393,235,607534
53,2013-02-23,0,3.7,45.9,-0.9,1766.73,2.2,3.1,,,607534
54,2013-02-24,0,2.2,42.4,1.4,1766.73,2.2,3.1,,,607534
55,2013-02-25,0,1.7,39.4,3.3,1766.73,2.2,3.1,393,238,607534
56,2013-02-26,0,2.6,56.4,4.8,1766.73,2.2,3.1,393,237,607534
57,2013-02-27,0,3,69.5,3.4,1766.73,2.2,3.1,404,237,607534
58,2013-02-28,1,2.9,57.3,6.7,1766.73,2.2,3.1,404,237,607534
59,2013-03-01,3,4.8,56.1,0.8,1785.96,2.2,3.1,,,607534
60,2013-03-02,0,3.2,42.6,-0.8,1785.96,2.2,3.1,,,607534
61,2013-03-03,0,2.9,50.3,0.4,1785.96,2.2,3.1,,,607534
62,2013-03-04,0,2.8,58.6,3.1,1785.96,2.2,3.1,397,237,607534
63,2013-03-05,0,3,51.8,3.7,1785.96,2.2,3.1,397,235,607534
64,2013-03-06,0,2.2,43.1,7.9,1785.96,2.2,3.1,397,237,607534
65,2013-03-07,0.5,3.7,74.1,8,1785.96,2.2,3.1,390,239,607534
66,2013-03-08,0,2.7,66,8.5,1785.96,2.2,3.1,359,241,607534
67,2013-03-09,0,4.3,48.8,13.2,1785.96,2.2,3.1,,,607534
68,2013-03-10,0,5,32.5,1.2,1785.96,2.2,3.1,,,607534
69,2013-03-11,0,2.2,33.4,4.2,1785.96,2.2,3.1,388,240,607534
70,2013-03-12,3.5,2.1,60.4,7.5,1785.96,2.2,3.1,380,240,607534
71,2013-03-13,11.5,3.6,64.5,5.2,1785.96,2.2,3.1,377,241,607534
72,2013-03-14,0,2.9,48.9,4.1,1785.96,2.2,3.1,386,242,607534
73,2013-03-15,0,2.4,43.4,4.6,1785.96,2.2,3.1,388,243,607534
74,2013-03-16,0,2.3,53.6,6.3,1785.96,2.2,3.1,,,607534
75,2013-03-17,7.5,2.9,57.5,8.2,1785.96,2.2,3.1,,,607534
76,2013-03-18,1,3.3,73,8.3,1785.96,2.2,3.1,388,243,607534
