,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
120,2012-04-30,0,2.5,43.3,22.9,,,
121,2012-05-01,0,2,46.1,22.6,,,
122,2012-05-02,0.4,3,47.3,23.1,,,
123,2012-05-03,0.2,3.3,53.8,20,,,
124,2012-05-04,0,3.3,48.8,19.7,,,
125,2012-05-05,0,3.9,42.4,18.8,,,
126,2012-05-06,0,3.2,31.9,18.1,,,
127,2012-05-07,0,2.3,33.3,18.5,,,
128,2012-05-08,0,2.3,27.5,20.8,,,
129,2012-05-09,0,2.7,45.4,20.7,,,
130,2012-05-10,0,2.8,45.1,20.1,,,
131,2012-05-11,0,2.9,55.4,16.2,,,
132,2012-05-12,0,2.2,57.9,17.1,,,
133,2012-05-13,0,2.2,53,19.1,,,
134,2012-05-14,6.5,1.8,78.8,16.1,,,
135,2012-05-15,0,3.3,65.3,16.9,,,
136,2012-05-16,0,3,58.6,16.6,,,
137,2012-05-17,0.5,2.6,56.6,16.6,,,
138,2012-05-18,0,2.5,51.4,18.1,,,
139,2012-05-19,0,2.3,38,19.5,,,
140,2012-05-20,0,2.1,39.1,21.3,,,
141,2012-05-21,0,2.1,34.8,23,,,
142,2012-05-22,0,2.4,34.6,23.3,,,
143,2012-05-23,0,3,39.5,22.1,,,
144,2012-05-24,0,2.2,53,19.7,,,
145,2012-05-25,0,2.7,45.4,20.5,,,
146,2012-05-26,0,2.6,44.8,19.8,,,
147,2012-05-27,0.3,2.7,65.6,19.3,,,
148,2012-05-28,0.1,2.8,58,20.9,,,
149,2012-05-29,0,2.9,40.8,21.6,,,
150,2012-05-30,0,2.4,44.4,20.7,,,
151,2012-05-31,0.2,2.7,58.6,20.9,,,
152,2012-06-01,0,1.8,52.3,21.4,,,
153,2012-06-02,0,2.5,44.8,23.1,,,
154,2012-06-03,0,2.2,38.9,23.3,,,
155,2012-06-04,0,2.5,35.1,23.7,,,
156,2012-06-05,0,3.5,62.6,22.5,,,
157,2012-06-06,0,3,62,23,,,
158,2012-06-07,0,2.4,62.8,23,,,
159,2012-06-08,2,2.1,66.4,22.2,,,
160,2012-06-09,0,2,59.5,24.2,,,
161,2012-06-10,0,2.4,58.8,23.7,,,
162,2012-06-11,0,2.6,59.4,23.2,,,
163,2012-06-12,0.4,2.6,58.9,22.6,,,
164,2012-06-13,0,2.8,53.1,23.4,,,
165,2012-06-14,0,3.1,49.1,24.8,,,
166,2012-06-15,0,3,52.8,23.7,,,
167,2012-06-16,0,3,61.3,23.5,,,
168,2012-06-17,0,3.2,52.5,23.6,,,
169,2012-06-18,0,2.2,46.5,24.9,,,
170,2012-06-19,0,2.9,44.8,26,,,
171,2012-06-20,0,3.5,49.1,25.4,,,
172,2012-06-21,0,2.7,55.3,25.7,,,
173,2012-06-22,0,2.7,61.4,24.3,,,
174,2012-06-23,0,2.2,55.8,26.2,,,
175,2012-06-24,0,2.3,48.3,27.8,,,
176,2012-06-25,0,4.2,40.5,26.5,,,
